W3ALCD,Doing_Business_As,Restaurant_Address,Inspection_Date,Major_Violation_Improper_Holding_Temperature,Minor_Violation_Improper_Holding_Temperature,Major_Violation_Inadequate_Cooking,Minor_Violation_Inadequate_Cooking,Major_Violation_Personal_Hygiene,Minor_Violation_Personal_Hygiene,Major_Violation_Contaminated_Equipment,Minor_Violation_Contaminated_Equipment,Major_Violation_Unsafe_Food_Source,Minor_Violation_Unsafe_Food_Source,InDbDate
FA0000581,CAFE M,"1799 FOURTH ST
BERKELEY, CA
(37.870391218000066, -122.30072731299998)",01/17/2011,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000767,CAFE MILANO,"2522 BANCROFT WY
BERKELEY, CA
(37.86878378500006, -122.25854573199996)",06/09/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000436,CAFE NEFELI,"1854 EUCLID AVE
BERKELEY, CA
(37.875284959000055, -122.26021308399999)",09/08/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000040,CAFE PLATANO PARTNERSHIP,"2042 UNIVERSITY AVE
BERKELEY, CA
(37.87191338200006, -122.26969521099994)",02/19/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000253,CAFE RIO,"2146 CENTER ST
BERKELEY, CA
(37.870463811000036, -122.26665549199998)",02/05/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000572,CAFE ROUGE,"1782 4TH ST
BERKELEY, CA
(37.87048624500005, -122.30082917099998)",02/19/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000308,CAFE STRADA,"2300 COLLEGE AVE
BERKELEY, CA
(37.86921358600006, -122.25465332399995)",12/17/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000356,CAFE TIBET,"2020 UNIVERSITY AVE
BERKELEY, CA
(37.87187305200007, -122.27001554599997)",06/10/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001099,CAFE V,"2056 SAN PABLO AVE
BERKELEY, CA
(37.86837126800003, -122.29202182399996)",07/11/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000707,CAFE YESTERDAY,"1122 UNIVERSITY AVE
BERKELEY, CA
(37.86914329700005, -122.29115530799999)",07/18/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000759,CAFFE MEDITERRANEUM,"2475 TELEGRAPH AVE
BERKELEY, CA
(37.86555739500005, -122.25852614399997)",11/25/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000661,CAFFE TRIESTE,"2500 SAN PABLO AVE SW
BERKELEY, CA
(37.860829583000054, -122.28960087999997)",05/01/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001187,CAKES AND PURLS,"2115 ALLSTON WAY
BERKELEY, CA
(37.869528159000026, -122.26717286599995)",09/25/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001311,CAKES MADE BY M.E.,"2701 8TH ST
BERKELEY, CA
(37.85694063200003, -122.29179712899997)",07/18/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000676,CAL GYROS,"2519-C DURANT AVE
BERKELEY, CA
(37.86796796900006, -122.25799263699997)",01/20/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000496,CALIFORNIA CINEMA,"2113 KITTREDGE ST
BERKELEY, CA
(37.86861785600007, -122.26713253599996)",03/28/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000800,CALIFORNIA HBPA,"1100 EASTSHORE HWY
BERKELEY, CA
(37.87781767400003, -122.30910440199995)",12/10/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000479,CALIFORNIA ROSE CATERING,"1012 GRAYSON ST
BERKELEY, CA
(37.85586324900004, -122.28948449899997)",03/06/2011,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001469,CAL QUICKLY,"2505-G HEARST AVE
BERKELEY, CA
(37.87513118100003, -122.25990386599995)",02/25/2015,0,1,0,0,0,0,0,1,0,0,06/08/2015 05:00:02 AM
FA0000541,CAL TAQUERIA,"2177-A SHATTUCK AVE
BERKELEY, CA
(37.86983690400007, -122.26781209599994)",02/19/2013,0,1,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001038,CAMILLE'S VIETNAMESE CUISINE,"2507-C HEARST AVE
BERKELEY, CA
(37.87515820800007, -122.25971299399998)",02/23/2015,0,1,0,0,0,0,0,1,0,0,06/08/2015 05:00:01 AM
FA0000779,CAMPUS MINI MART  1099/1615,"2200 DURANT AVE
BERKELEY, CA
(37.86693322000008, -122.26551588499996)",01/16/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000050,CANCUN TAQUERIA,"2134 ALLSTON WY
BERKELEY, CA
(37.86952355000005, -122.26681565899997)",10/29/2013,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000002,CANNED FOODS GROCERY OUTLET,"2001 FOURTH ST
BERKELEY, CA
(37.866990834000035, -122.29961651299999)",12/30/2013,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001302,CARAVAGGIO GELATERIA ITALIANO,"1797-C SHATTUCK AVE
BERKELEY, CA
(37.875153598000054, -122.26863511199997)",06/04/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001277,CAROLYN WONG CAKES,"2530 10TH ST
BERKELEY, CA
(37.85980059600007, -122.29041208599995)",02/19/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001068,CASA DE CHOCOLATES,"2629 ASHBY AVE
BERKELEY, CA
(37.856998246000046, -122.25360244299998)",01/29/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001370,CASA LATINA BAKERY,"1805 SAN PABLO AVE
BERKELEY, CA
(37.87150086500003, -122.29280767999995)",01/21/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001508,CASK ON COLLEGE #4,"3185 COLLEGE AVE
BERKELEY, CA
(37.851474207000024, -122.25245477099998)",01/29/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001472,CATAHOULA COFFEE COMPANY,"2080 4TH ST
BERKELEY, CA
(37.86650244900005, -122.29954163199994)",03/09/2015,0,1,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001332,CEDAR MARKET  1615/1099,"1601 CALIFORNIA ST
BERKELEY, CA
(37.87681518900007, -122.28040451799995)",05/15/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000131,CELIA'S MEXICAN RESTAURANT,"1841 EUCLID AVE
BERKELEY, CA
(37.87554652700004, -122.26018542899999)",02/24/2015,0,1,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001322,CERTIFIED KITCHENS,"2428 SHATTUCK AVE
BERKELEY, CA
(37.86520479700005, -122.26771328599995)",02/19/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000145,CESAR,"1515 SHATTUCK AVE
BERKELEY, CA
(37.87962445200003, -122.26915479099995)",12/08/2014,0,1,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000142,CHA AM,"1543 SHATTUCK AVE
BERKELEY, CA
(37.87868534200004, -122.26903495399995)",12/01/2014,0,1,0,0,0,0,0,1,0,0,06/08/2015 05:00:01 AM
FA0000353,CHAAT CAFE,"1902 UNIVERSITY AVE
BERKELEY, CA
(37.871522758000026, -122.27272571199995)",06/03/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000526,CHANG LUONG RESTAURANT,"2517-D DURANT AVE
BERKELEY, CA
(37.86789764200006, -122.25856193899995)",09/18/2014,0,0,0,0,0,0,0,1,0,0,06/08/2015 05:00:01 AM
FA0000256,CHAPARRAL FOUNDATION NURSING,"1309 ALLSTON WY
BERKELEY, CA
(37.866961022000055, -122.28504913199998)",07/03/2013,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001083,CHA-YA RESTAURANT,"1688 SHATTUCK AVE
BERKELEY, CA
(37.87683593000003, -122.26900384199996)",01/05/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000531,CHEESE 'N STUFF,"2442 DURANT AVE
BERKELEY, CA
(37.867628456000034, -122.26032631599998)",02/03/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001339,CHENGDU STYLE RESTAURANT,"2600 BANCROFT WAY
BERKELEY, CA
(37.86902345900006, -122.25660644199996)",11/03/2014,1,0,0,0,0,0,0,1,0,0,06/08/2015 05:00:02 AM
FA0000635,CHEN'S GARDEN,"1818 ALCATRAZ AVE
BERKELEY, CA
(37.84881358800004, -122.27067580299996)",02/11/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000174,CHEVRON #306143  1099/1615,"1399 SAN PABLO AVE
BERKELEY, CA
(37.878960738000046, -122.29521710099999)",12/31/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000144,CHEZ PANNISSE,"1517 SHATTUCK AVE
BERKELEY, CA
(37.87954494400003, -122.26914557299995)",10/02/2014,0,0,0,0,0,0,0,1,0,0,06/08/2015 05:00:01 AM
FA0000533,CHINESE EXPRESS,"2488 CHANNING WY
BERKELEY, CA
(37.86684334200004, -122.25908615299994)",12/09/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000163,CHIPOTLE MEXICAN GRILL,"1050 GILMAN ST
BERKELEY, CA
(37.88029392800007, -122.29662403699996)",01/22/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000529,CHIPOTLE MEXICAN GRILL,"2311 TELEGRAPH AVE
BERKELEY, CA
(37.86832748100005, -122.25908615299994)",01/06/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000354,CHOCOLATIER BLUE,"1964 UNIVERSITY AVE
BERKELEY, CA
(37.871693296000046, -122.27144552699997)",10/14/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000105,CHOCOLATIER BLUE PATISSERIE,"1809 FOURTH ST
BERKELEY, CA
(37.86970100100007, -122.30051759699995)",04/03/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000164,CHURCH'S FRIED CHICKEN,"1200 SAN PABLO AVE
BERKELEY, CA
(37.88203041600008, -122.29641201699997)",11/05/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001434,CINNAHOLIC,"2132 OXFORD ST
BERKELEY, CA
(37.87027714200008, -122.26594338199999)",03/12/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001000,CITY LEES MARKET  1099/1615,"2700 M L KING JR WAY
BERKELEY, CA
(37.85962775300004, -122.27173359799997)",01/29/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000242,CLAREMONT CHEVRON 1099/1615,"3048 ASHBY AVE
BERKELEY, CA
(37.85806295500004, -122.244130687)",01/29/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001214,CLAYPOT RESTAURANT,"2501 SAN PABLO AVE
BERKELEY, CA
(37.860920613000076, -122.28941766699995)",06/03/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001397,COFFEE CONSCIOUS,"1312 GILMAN ST
BERKELEY, CA
(37.88125377800003, -122.28937618499998)",09/05/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000385,COFFEE SACK,"2701 COLLEGE AVE
BERKELEY, CA
(37.86195421000008, -122.25349528099997)",01/30/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001078,COMAL,"2018 SHATTUCK AVE
BERKELEY, CA
(37.87158728600008, -122.26836432599998)",06/11/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000440,COOKERY,"724 ALLSTON WY
BERKELEY, CA
(37.86484298100004, -122.29869353499998)",03/04/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000428,CORSO,"1786 88 SHATTUCK AVE
BERKELEY, CA
(37.871752926000056, -122.26779642899999)",01/14/2015,0,0,0,0,0,0,0,1,0,0,06/08/2015 05:00:01 AM
FA0000187,COUNTRY CHEESE COFFEE MARKET,"1578 HOPKINS ST
BERKELEY, CA
(37.88185526900003, -122.28151646999999)",02/05/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000016,"COUNTRY CHEESE CO., INC.","2101 SAN PABLO AVE
BERKELEY, CA
(37.86800253800004, -122.29168766199996)",12/26/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000923,CREAM,"2399 TELEGRAPH AVE
BERKELEY, CA
(37.86717750400004, -122.25885569599996)",03/02/2015,0,0,0,0,0,0,0,1,0,0,06/08/2015 05:00:01 AM
FA0000594,CREPES A-GO-GO,"2334 TELEGRAPH AVE
BERKELEY, CA
(37.86807397900003, -122.25910343699996)",01/15/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000458,CREPEVINE,"1600 SHATTUCK AVE
BERKELEY, CA
(37.878136856000026, -122.26914442099996)",01/12/2015,0,1,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000619,CRIXA,"2748 ADELINE ST
BERKELEY, CA
(37.858632182000065, -122.26784118999996)",02/05/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001093,CRUNCH,"2144 CENTER ST
BERKELEY, CA
(37.870463811000036, -122.26666586199997)",03/12/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001394,CUGINI MANZONE,"2930 COLLEGE AVE
BERKELEY, CA
(37.85779793000006, -122.25316342399998)",02/04/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000334,CU JAPANESE FUSION,"2152 CENTER ST
BERKELEY, CA
(37.87048340000007, -122.26648610599995)",02/24/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000799,CULTURED,"800 BANCROFT WY
BERKELEY, CA
(37.863363451000055, -122.29672428599997)",05/14/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001437,CUPCAKIN' BAKESHOP,"2435 DURANT AVE
BERKELEY, CA
(37.86773507000004, -122.25990423699994)",10/30/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001254,CUP STORY,"2384 TELEGRAPH AVE
BERKELEY, CA
(37.867200695000065, -122.25892539999995)",10/30/2014,0,1,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001247,CVS PHARMACY,"2655 TELEGRAPH AVE
BERKELEY, CA
(37.86190581400007, -122.25885569599996)",02/09/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000788,CVS PHARMACY #3026,"2300 SHATTUCK AVE
BERKELEY, CA
(37.867116433000035, -122.26791378399997)",05/07/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000148,CVS PHARMACY #9941,"1451 SHATTUCK AVE
BERKELEY, CA
(37.88145427500007, -122.26922507999996)",11/18/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000579,CYPRUS RESTAURANT,"81 SHATTUCK SQ
BERKELEY, CA
(37.87170783000005, -122.26830046999999)",05/08/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001500,DAILY PINT,"1828 EUCLID AVE
BERKELEY, CA
(37.87562488200007, -122.26027300299995)",10/22/2014,0,0,0,0,0,0,0,1,0,0,06/08/2015 05:00:02 AM
FA0001141,DAISO BERKELEY,"2369 TELEGRAPH AVE
BERKELEY, CA
(37.86739759000005, -122.25889602599995)",01/24/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000118,DA LIAN RESTAURANT,"1674 SHATTUCK AVE
BERKELEY, CA
(37.87705059100006, -122.26902893099998)",12/09/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000141,DARA THAI/LAO CUISINE,"1549 SHATTUCK AVE
BERKELEY, CA
(37.87857472300004, -122.26902458299998)",05/12/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000103,DAVE'S UNION 76  1099/1615,"849 UNIVERSITY AVE
BERKELEY, CA
(37.86822723200004, -122.29691556499995)",05/01/2011,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000162,DELTAN DIVERSIFIED INC,"1300 SAN PABLO AVE
BERKELEY, CA
(37.88022018200007, -122.29582204899998)",,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000386,DERBY FOOD CENTER,"2707 COLLEGE AVE
BERKELEY, CA
(37.86190237100004, -122.25349089899998)",02/04/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000791,DETOUR CAFE,"2001 DWIGHT WY
BERKELEY, CA
(37.86378749100004, -122.26895314199999)",01/06/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000486,DIYAR MEDITERRANIAN CUISINE,"2511 DURANT AVE
BERKELEY, CA
(37.86790805000004, -122.25846276799996)",02/09/2015,1,0,0,0,0,0,0,1,0,0,06/08/2015 05:00:01 AM
FA0001104,DOLLAR TREE,"1284 SAN PABLO AVE
BERKELEY, CA
(37.880870069000025, -122.29603176399996)",04/14/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000790,DOLLAR TREE #3454,"2440 SHATTUCK AVE
BERKELEY, CA
(37.865037716000074, -122.26760842899995)",10/16/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001515,DOMINO'S PIZZA,"3264 ADELINE ST
BERKELEY, CA
(37.84918347100006, -122.27137984699999)",02/05/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001198,DOMINO'S PIZZA,"2127 UNIVERSITY AVE
BERKELEY, CA
(37.87234779200003, -122.26738258199998)",06/10/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000511,DOROTHY DAY HOUSE,"1931 CENTER ST
BERKELEY, CA
(37.86982775200005, -122.27178314599996)",03/11/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001529,DOT ISLAND GRILL,"2431-A DURANT AVE
BERKELEY, CA
(37.867731639000056, -122.25993168099996)",,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001439,DOUBLETREE BAY GRILL,"200 MARINA BLVD
BERKELEY, CA
(37.86865472900007, -122.31315812899999)",12/29/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001438,DOUBLETREE CAFE,"200 MARINA BLVD
BERKELEY, CA
(37.86865472900007, -122.31315812899999)",12/29/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001468,DOUGHNUT DOLLY,"1313 9TH ST
BERKELEY, CA
(37.87974715200005, -122.29796187399995)",02/20/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001351,DREAM,"2401 TELEGRAPH AVE
BERKELEY, CA
(37.86668778400008, -122.25874622899994)",12/03/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000376,DREAM FLUFF DONUTS,"2637 ASHBY AVE
BERKELEY, CA
(37.857037424000055, -122.25326251999996)",02/12/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001455,DUMPLING EXPRESS,"2328 BOWDITCH ST
BERKELEY, CA
(37.86790344100007, -122.25670323399999)",01/08/2015,1,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000437,D'YAR RESTAURANT,"1866 EUCLID AVE
BERKELEY, CA
(37.875284959000055, -122.26021308399999)",09/12/2014,0,1,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001242,EASY CREOLE,"1761 ALCATRAZ AVE
BERKELEY, CA
(37.84867761900006, -122.27214265799995)",02/10/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001258,EASY MARKET,"3045 SAN PABLO AVE
BERKELEY, CA
(37.85070217800006, -122.28612790199998)",06/25/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001085,EAT @ THAI,"1181 UNIVERSITY AVE
BERKELEY, CA
(37.869447499000046, -122.29013323399994)",02/03/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000841,ECOLOGY CENTER CERTIFIED,"2530 SAN PABLO AVE
BERKELEY, CA
(37.860059859000046, -122.28933124599996)",11/23/2013,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000612,EDIBLE ARRANGEMENTS,"3079 TELEGRAPH AVE
BERKELEY, CA
(37.85419589700007, -122.25993538399996)",02/09/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000285,EDOKO JAPANESE RESTAURANT,"1722 UNIVERSITY AVE
BERKELEY, CA
(37.87097312000003, -122.27691540899997)",01/29/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001289,EL BURRO PICANTE,"2021 UNIVERSITY AVE
BERKELEY, CA
(37.872018240000045, -122.27009274799997)",10/16/2014,0,1,0,0,0,0,0,1,0,0,06/08/2015 05:00:02 AM
FA0001506,ELEMENTS PETROLEUM INC.,"833 UNIVERSITY AVE
BERKELEY, CA
(37.86812698400007, -122.29737762999997)",,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000377,ELMWOOD CAFE,"2900 COLLEGE AVE
BERKELEY, CA
(37.85823694900006, -122.25320375399997)",02/11/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000507,ELMWOOD NURSING & REHAB,"2829 SHATTUCK AVE
BERKELEY, CA
(37.857364672000074, -122.26674536999997)",04/14/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000375,EMILIA'S,"2995 SHATTUCK AVE
BERKELEY, CA
(37.85550488900003, -122.26651491299998)",08/20/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000644,EPHESIAN CHILD CENTER,"1907 HARMON ST
BERKELEY, CA
(37.84987829700003, -122.26943249099998)",06/11/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000183,ESPRESSO ROMA,"1549 HOPKINS ST
BERKELEY, CA
(37.881576417000076, -122.28222166699999)",05/06/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000209,ESPRESSO ROMA,"2960 COLLEGE AVE
BERKELEY, CA
(37.856836927000074, -122.25307354599994)",02/12/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000300,ESPRESSO ROMA/C'EST CAF�,"2490 BANCROFT WY
BERKELEY, CA
(37.868673166000065, -122.259436446)",01/10/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000383,ETHIOPIA RESTAURANT,"2955 TELEGRAPH AVE
BERKELEY, CA
(37.85680581500003, -122.25957471999999)",04/08/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001306,EUREKA BURGER BERKELEY LLC,"2068 CENTER ST
BERKELEY, CA
(37.870143477000056, -122.26904532399999)",02/23/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000097,EVERETT & JONES BARBECUE,"1955 SAN PABLO AVE
BERKELEY, CA
(37.86967104200005, -122.29221771199997)",11/20/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000591,EXTREME PIZZA,"3204 COLLEGE AVE
BERKELEY, CA
(37.85119437800006, -122.25249590099997)",05/09/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000551,EXTREME PIZZA,"2352 SHATTUCK AVE
BERKELEY, CA
(37.86611625200004, -122.26780316399999)",01/22/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000346,E-Z STOP DELI,"2233 SHATTUCK AVE
BERKELEY, CA
(37.868713495000065, -122.26772480899996)",02/20/2015,0,1,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000641,FALLANGHINA LLC DBA PAISAN,"2514 SAN PABLO AVE
BERKELEY, CA
(37.860419371000035, -122.28946145299994)",03/05/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000960,FAR LEAVES TEA,"2626 SAN PABLO AVE
BERKELEY, CA
(37.85828995400004, -122.28876086599996)",03/05/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001516,FARMBURGER,"1313 9TH ST
BERKELEY, CA
(37.87974715200005, -122.29796187399995)",12/30/2014,0,0,0,0,0,0,0,1,0,0,06/08/2015 05:00:02 AM
FA0000427,FAST FOODS RESTAURANT,"1782 SHATTUCK AVE
BERKELEY, CA
(37.875157055000045, -122.268824086)",01/05/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000193,FAT APPLE'S INC.,"1346 M L KING JR WY
BERKELEY, CA
(37.88155682900003, -122.27414417099999)",06/04/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000303,FAT NATE INC. DBA YOGURTLAND,"2516 BANCROFT WY
BERKELEY, CA
(37.86876304400005, -122.25871626999998)",01/09/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000761,FAT SLICE,"2375 TELEGRAPH AVE
BERKELEY, CA
(37.867157915000064, -122.25884532599997)",04/24/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000701,FELLINI COFFEE BAR,"1401 UNIVERSITY AVE
BERKELEY, CA
(37.87024833500004, -122.28393280499995)",01/16/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001329,FERTILE GROUNDS,"1796 SHATTUCK AVE
BERKELEY, CA
(37.87501647700003, -122.26881371599995)",05/20/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001526,FIELDWORK BREWERY,"1160 6TH ST
BERKELEY, CA
(37.88159325100003, -122.30206122799996)",,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000685,FINFINE,"2556 TELEGRAPH AVE
BERKELEY, CA
(37.863925764000044, -122.25863330599998)",02/12/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000532,FINS RESTAURANT,"2240 SHATTUCK AVE
BERKELEY, CA
(37.868678927000076, -122.26808432099995)",12/04/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000244,FLACOS,"3031 ADELINE ST
BERKELEY, CA
(37.85391819700004, -122.26924812599998)",02/03/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
