Year,Department,idsite,Site,End Use,Annual Cost,Annual Water (Gallons),Annual Elec (kWh),Annual Nat Gas (Therms),Annual Energy (kWheq),Location 1
2014,PW,487,Old City Hall Annex,Buildings,$989,,4345,,4345,"1835 Allston Way
Berkeley, CA
(37.86867697100007, -122.27366557899995)"
2014,PW,450,Oxford Garage 2165 Kittredge St.,Garages,$14236,8009,74021,,74021,"2165 Kittredge Street
Berkeley, CA
(37.86870651500004, -122.26648645499995)"
2014,PW,467,Path Blue Emer Lite @ 1011 Folger,Parks (multiple end uses),$127,,0,,0,"1011 Folger Ave
Berkeley, CA
(37.850507443000026, -122.28869518599998)"
2014,PW,435,Receptacle - 755 Hearst,Receptacles,$351,,1327,,1327,"755 Hearst
Berkeley, CA
(37.86897736800006, -122.29984466499997)"
2014,PW,398,Receptacles - Shattuck Sq.,Receptacles,$158,,224,,224,"1 Shattuck Sq
Berkeley, CA
(37.87202368000004, -122.26833394799996)"
2014,PW,124,Solano Tunnel,Streetlighting metered,$5647,,38843,,38843,"600 Solano Ave
Berkeley, CA
(37.891376782000066, -122.27910354)"
2014,PW,430,Streetlights,Streetlighting unmetered,$588698,,4048135,,4048135,"3000 Grizzly Peak Blvd
Berkeley, CA
(37.89465934400005, -122.25941779499999)"
2014,PW,446,Tamalpias Path Lights,Streetlighting unmetered,$159,,1087,,1087,"1201 Euclid
Berkeley, CA
(37.88646724600005, -122.262352352)"
2014,PW,70,Telegraph/Channing Garage,Garages,$37216,,253829,,253829,"2450 Durant
Berkeley, CA
(37.86770453400004, -122.25968290999998)"
2014,PW,448,Telegraph/Channing Mall,Buildings,$15284,577256,1631,3285,97908,"2450 Durant
Berkeley, CA
(37.86770453400004, -122.25968290999998)"
2014,PW,429,Traffic Signal Surrogate,Traffic Signals,$82639,,406689,,406689,"3000 Grizzly Peak Blvd
Berkeley, CA
(37.89465934400005, -122.25941779499999)"
2014,PW,530,Traffic Signals North,Traffic Signals,$1644,,7366,,7366,
2014,PW,498,Transfer Station Campus,Buildings,$74078,1290710,240819,7978,474640,"1201 Second St
Berkeley, CA
(37.87980075100006, -122.30614764599994)"
2014,PW,10,Veterans Building,Buildings,$59660,1448243,117736,18990,674300,"1931 Center St
Berkeley, CA
(37.86982775200005, -122.27178314599996)"
